y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,"[1142, 2499, 2539]","[1142, 2499, 2539]","[1142, 2499, 2539]","[1142, 2499, 2539]","[1142, 2499, 2539]","[1142, 2499, 2539]","[1142, 2499, 2539]","[1142, 2499, 2539]","[1142, 2499, 2539]","[1142, 2499, 2539]","[1142, 2499, 2539]","[1142, 2499, 2539]","[1142, 2499, 2539]","[1142, 2499, 2539]","[1142, 2499, 2539]"
0,"[7156, 3348, 3811]","[7156, 3348, 3811]","[7156, 3348, 3811]","[7156, 3348, 3811]","[7156, 3348, 3811]","[7156, 3348, 3811]","[7156, 3348, 3811]","[7156, 3348, 3811]","[7156, 3348, 3811]","[7156, 3348, 3811]","[7156, 3348, 3811]","[7156, 3348, 3811]","[7156, 3348, 3811]","[7156, 3348, 3811]","[7156, 3348, 3811]"
1,"[6597, 2672, 5908]","[6597, 2672, 5908]","[6597, 2672, 5908]","[6597, 2672, 5908]","[6597, 2672, 5908]","[6597, 2672, 5908]","[6597, 2672, 5908]","[6597, 2672, 5908]","[6597, 2672, 5908]","[6597, 2672, 5908]","[6597, 2672, 5908]","[6597, 2672, 5908]","[6597, 2672, 5908]","[6597, 2672, 5908]","[6441, 2217, 5215]"
0,"[5908, 6784, 7011]","[5908, 6784, 7011]","[5908, 6784, 7011]","[5215, 6784, 7011]","[5908, 6784, 7011]","[5908, 6784, 7011]","[5908, 6784, 7011]","[5908, 6784, 7011]","[5908, 6784, 7011]","[5908, 6784, 7011]","[5908, 6784, 7011]","[5908, 6784, 7011]","[5908, 6784, 7011]","[5908, 6784, 7011]","[5908, 6784, 7011]"
0,"[53, 55, 29]","[53, 55, 29]","[53, 55, 29]","[53, 55, 29]","[53, 55, 29]","[53, 55, 29]","[53, 55, 29]","[53, 55, 29]","[53, 55, 29]","[53, 55, 29]","[53, 55, 29]","[53, 55, 29]","[53, 55, 29]","[53, 55, 29]","[53, 55, 29]"
0,"[3680, 2230, 1566]","[3680, 2230, 1566]","[3680, 2230, 1566]","[3680, 2230, 1566]","[3680, 2230, 1566]","[3680, 2230, 1566]","[3680, 2230, 1566]","[3680, 2230, 1566]","[3680, 2230, 1566]","[3680, 2230, 1566]","[3680, 2230, 1566]","[3680, 2230, 1566]","[3680, 2230, 1566]","[3680, 2230, 1566]","[3680, 2230, 1566]"
0,"[2649, 3692, 603]","[2649, 3692, 603]","[2649, 3692, 603]","[2649, 3692, 603]","[2649, 3692, 603]","[2649, 3692, 603]","[2649, 3692, 603]","[2649, 3692, 603]","[2649, 3692, 603]","[2649, 3692, 603]","[2649, 3692, 603]","[2649, 3692, 603]","[2649, 3692, 603]","[2649, 3692, 603]","[2649, 3692, 603]"
0,"[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]","[4100, 1812, 40]"
0,"[5871, 6332, 6220]","[5871, 6332, 6220]","[5871, 6332, 6220]","[5871, 6332, 6220]","[5871, 6332, 6220]","[5871, 6332, 6220]","[5871, 6332, 6220]","[5871, 6332, 6220]","[5871, 6332, 6220]","[5871, 6332, 6220]","[5871, 6332, 6220]","[5871, 6332, 6220]","[5871, 6332, 6220]","[5871, 6332, 6220]","[5871, 6332, 6220]"
0,"[6206, 6081, 5181]","[6206, 6081, 5181]","[6206, 6081, 5181]","[6206, 6081, 5181]","[6206, 6081, 5181]","[6206, 6081, 5181]","[6206, 6081, 5181]","[6206, 6081, 5181]","[6206, 6081, 5181]","[6206, 6081, 5181]","[6206, 6081, 5181]","[6206, 6081, 5181]","[6206, 6081, 5181]","[6206, 6081, 5181]","[6206, 6081, 5181]"
